Question,Answer,Score
"How much do your legs hurt right now?","My legs ache slightly, but I can manage it with rest.",3
How much do your legs hurt right now?","My legs ache slightly, but I can manage it with rest.",3
"How much do your legs hurt right now?","I feel a moderate pain in my legs that bothers me throughout the day.",5
"How much do your legs hurt right now?","My legs hurt severely, making it difficult to walk or stand.",8
"How much do your legs hurt right now?","The pain in my legs is unbearable, and I can't find relief even with painkillers.",10
"How much do your legs hurt right now?","I feel a slight discomfort in my legs, but it's manageable.",2
"How much do your legs hurt right now?","There's a mild throbbing sensation in my legs.",3
"How much do your legs hurt right now?","I don't feel any pain in my legs at the moment.",1
"How much do your legs hurt right now?","My legs are tingling, but it's not painful.",2
"How much do your legs hurt right now?","I have a dull ache in my legs that comes and goes.",3
"How much do your legs hurt right now?","I feel a sharp pain in one leg, but the other is fine.",4
"How much do your legs hurt right now?","My legs are sore, like after a long walk.",2
"How much do your legs hurt right now?","There's a persistent cramping sensation in both legs.",4
"How much do your legs hurt right now?","I feel a stabbing pain in my left leg, but the right one is okay.",5
"How much do your legs hurt right now?","There's a throbbing pain in both legs, worse in the left.",4
"How much do your legs hurt right now?","I feel a slight discomfort in my legs, but it's bearable.",2
"How much do your legs hurt right now?","My legs feel numb with occasional tingling sensations.",3
"How much do your legs hurt right now?","The pain in my legs is sharp and stabbing.",6
"How much do your legs hurt right now?","I have a constant ache in both legs.",4
"How much do your legs hurt right now?","The pain is localized to my knees and feels like a pressure.",5
"How much do your legs hurt right now?","My legs feel heavy, like weights are attached to them.",3
"How much do your legs hurt right now?","The pain comes in waves, alternating between intense and mild.",4
"How much do your legs hurt right now?","I have shooting pains down my left leg, but my right leg is fine.",5
"How much do your legs hurt right now?","The pain is dull but persistent, affecting my daily activities.",3
"How much do your legs hurt right now?","My legs throb with every heartbeat, making it hard to relax.",4
"How much do your legs hurt right now?","The pain is like a constant pressure in my calves.",5
"How much do your legs hurt right now?","I feel a deep ache in my legs, worsened by movement.",4
"How much do your legs hurt right now?","My legs are stiff and achy, especially in the morning.",3
"How much do your legs hurt right now?","I experience cramping in my calves and thighs intermittently.",4
"How much do your legs hurt right now?","The pain is sharp and stabbing, localized to my ankles.",6
"How much do your legs hurt right now?","My legs feel like they're on fire, with a burning sensation.",7
"How much do your legs hurt right now?","I have shooting pains in both legs, radiating from my hips.",6
"How much do your legs hurt right now?","The pain in my legs is throbbing, making it hard to concentrate.",5
"How much do your legs hurt right now?","My legs are sore and tender to the touch.",4
"How much do your legs hurt right now?","I feel a dull ache in my legs, worsening with movement.",3
"How much do your legs hurt right now?","The pain is sharp and shooting down my left leg.",5
"How much do your legs hurt right now?","My legs feel heavy and swollen.",4
"How much do your legs hurt right now?","The pain is like a constant cramp in my calves.",5
"How much do your legs hurt right now?","I feel a throbbing sensation in both legs, worse in the left.",4
"How much do your legs hurt right now?","The pain in my legs is dull but persistent, affecting my sleep.",3
"How much do your legs hurt right now?","My legs feel stiff and achy, especially in the morning.",4
"How much do your legs hurt right now?","I experience cramping in my calves and thighs frequently.",5
"How much do your legs hurt right now?","The pain is sharp and intense, localized to my ankles.",6
"How much do your legs hurt right now?","My legs feel like they're burning, with a constant sensation.",7
"How much do your legs hurt right now?","I have shooting pains in both legs, radiating from my knees.",6
"How much do your legs hurt right now?","The pain in my legs is throbbing, making it hard to sit still.",5
"How much do your legs hurt right now?","My legs are sore and tender, especially after physical activity.",4
"How much do your legs hurt right now?","I feel a dull ache in my legs, aggravated by standing.",3
"How much do your legs hurt right now?","The pain is sharp and shooting down my right leg.",5
"How much do your legs hurt right now?","My legs feel heavy and uncomfortable.",4
"How much do your legs hurt right now?","The pain is like a constant ache in my calves.",5
"How much do your legs hurt right now?","I feel a throbbing sensation in both legs, worse in the right.",4
"Describe the pain in your legs.","The pain is like a dull ache, not too intense but persistent.",3
"Describe the pain in your legs.","It's a sharp, stabbing pain that comes and goes unpredictably.",6
"Describe the pain in your legs.","The pain feels like a throbbing sensation that worsens when I move.",7
"Describe the pain in your legs.","I experience a burning sensation that radiates down my legs, making it hard to rest.",9
"Describe the pain in your legs.","It feels like pins and needles all over my legs.",4
"Describe the pain in your legs.","The pain is like a band tightening around my legs.",5
"Describe the pain in your legs.","My legs feel heavy and achy.",3
"Describe the pain in your legs.","I have shooting pains down both legs.",6
"Describe the pain in your legs.","The pain is like electric shocks in my legs.",6
"Describe the pain in your legs.","It's a constant burning sensation in my calves.",5
"Describe the pain in your legs.","The pain radiates from my hips down to my feet.",7
"Describe the pain in your legs.","I feel cramps in my calves that won't go away.",4
"Describe the pain in your legs.","The pain is throbbing, and I can't find a comfortable position.",5
"Describe the pain in your legs.","My legs ache as if I've been running for hours.",4
"How long have you been experiencing leg pain?","It started recently, just a few days ago, and has been getting worse.",4
"How long have you been experiencing leg pain?","I've had this pain for several weeks now, and it hasn't improved.",6
"How long have you been experiencing leg pain?","The pain in my legs has been ongoing for months, affecting my daily life.",8
"How long have you been experiencing leg pain?","I've been suffering from chronic leg pain for years, and it's progressively worsened.",10
"How long have you been experiencing leg pain?","The pain started yesterday and hasn't eased.",2
"How long have you been experiencing leg pain?","It's been a week since the pain started, and it's getting worse.",3
"How long have you been experiencing leg pain?","The pain has been constant for a month now.",4
"How long have you been experiencing leg pain?","I've had intermittent pain for the past six months.",5
"How long have you been experiencing leg pain?","The pain comes and goes, but it's been a year since it first started.",6
"How long have you been experiencing leg pain?","It's been a decade since I first felt this pain.",7
"How long have you been experiencing leg pain?","The pain started after an injury last year.",3
"How long have you been experiencing leg pain?","I've noticed the pain worsening over the past few months.",4
"How long have you been experiencing leg pain?","The pain has been getting progressively worse for the past two years.",6
"How long have you been experiencing leg pain?","It's been a lifetime of dealing with this pain.",8
"What makes your leg pain worse?","Walking or standing for long periods exacerbates the pain.",5
"What makes your leg pain worse?","Cold weather seems to increase the intensity of the pain in my legs.",4
"What makes your leg pain worse?","Any sudden movements or bending aggravates the pain significantly.",7
"What makes your leg pain worse?","The pain worsens at night, disrupting my sleep and causing discomfort.",8
"What makes your leg pain worse?","Sitting for long periods aggravates the pain.",3
"What makes your leg pain worse?","Humid weather increases the discomfort in my legs.",4
"What makes your leg pain worse?","Elevating my legs helps alleviate the pain temporarily.",2
"What makes your leg pain worse?","Stretching exercises make the pain worse.",5
"What makes your leg pain worse?","Massaging the affected area provides some relief.",3
"What makes your leg pain worse?","Applying heat to my legs eases the pain.",2
"What makes your leg pain worse?","The pain worsens after physical therapy sessions.",4
"What makes your leg pain worse?","Wearing compression socks helps manage the pain.",3
"How does your leg pain affect your daily activities?","I can still perform most activities, but with some difficulty due to the pain.",3
"How does your leg pain affect your daily activities?","The pain limits my ability to work and participate in recreational activities.",6
"How does your leg pain affect your daily activities?","I'm unable to carry out many activities because of the severe pain in my legs.",8
"How does your leg pain affect your daily activities?","The pain is so debilitating that I'm mostly confined to bed or a chair.",9
"How does your leg pain affect your daily activities?","I've had to cut back on exercising due to the pain.",4
"How does your leg pain affect your daily activities?","The pain makes it hard to focus on work.",3
"How does your leg pain affect your daily activities?","I've had to rely on others for help with daily tasks.",5
"How does your leg pain affect your daily activities?","I've had to take more breaks during the day.",2
"How does your leg pain affect your daily activities?","The pain has affected my mood negatively.",3
"How does your leg pain affect your daily activities?","The pain has caused me to lose sleep.",4
"How does your leg pain affect your daily activities?","I've had to modify my home to accommodate my pain.",5
"How does your leg pain affect your daily activities?","I've had to stop participating in hobbies I enjoy.",4
"How does your leg pain affect your daily activities?","The pain has caused me to become more isolated.",3
"How does your leg pain affect your daily activities?","I've had to take more sick days from work.",4
